"Privilege Parent Group","Privilege Parent GroupID","Privilege Name","Privilege ID","Privilege Description","HEDC_DAAS_Admin","HEDC_DBA","HEDC_ITSM_Admins","HEDC_Networking","HEDC_Operations","HEDC_Operations_wProvision","HEDC_Printer_admins","HEDC_SCOIN_CM","HEDC_SCPT_Admins","HEDC_SCPT_Admins_Test"
"System","System","Anonymous","System.Anonymous","The only privilege held by sessions which have not logged in","True","True","True","True","True","True","True","True","True","True"
"System","System","View","System.View","Visibility without read access to an entity. This is assigned implicitly by the system, if read privileges are assigned at lower levels in the inventory","True","True","True","True","True","True","True","True","True","True"
"System","System","Read","System.Read","Grants read access to an entity","True","True","True","True","True","True","True","True","True","True"
"Trusted Infrastructure administrator","TrustedAdmin","Configure token conversion policy","TrustedAdmin.ConfigureTokenConversionPolicy","Configure the Trusted Infrastructure administrator token conversion policy","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","Configure Key Server Trust","TrustedAdmin.ManageKMSTrust","Configure trust between Key Server and Trust Authority Host","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","Read Key Server Trust","TrustedAdmin.ReadKMSTrust","List and monitor the trust status between Key Servers and Trust Authority Hosts","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","List information about the STS","TrustedAdmin.ReadStsInfo","List the STS certificates and vpxd solution user","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","Configure Trust Authority Host TPM certificates","TrustedAdmin.ConfigureHostCertificates","Configure the CA certificates and public Endorsement keys of the Trusted Hosts on the Trust Authority Hosts","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","Configure Trust Authority Host metadata","TrustedAdmin.ConfigureHostMetadata","Configure the set of Trust Authority Host metadata","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","Configure attesting SSO","TrustedAdmin.ManageAttestingSSO","Configure the set of SSO STS certs","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","Read attesting SSO","TrustedAdmin.ReadAttestingSSO","Read the set of SSO STS certs","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","Retrieve Trust Authority Host metadatata","TrustedAdmin.RetrieveHostMetadata","Extract Trust Authority Host's profile metadata","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","Retrieve TPM Trust Authority Host certificates","TrustedAdmin.RetrieveTPMHostCertificates","Extract Trust Authority Host's EKCert and public Endorsement Keys","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","Manage Trusted Infrastructure Hosts","TrustedAdmin.ManageTrustedHosts","Add and remove Trusted Infrastructure Hosts which will be used for ESX attestation","False","False","False","False","False","False","False","False","False","False"
"Trusted Infrastructure administrator","TrustedAdmin","List Trusted Infrastructure Hosts","TrustedAdmin.ReadTrustedHosts","List the currently configured Trusted Infrastructure Hosts which will be used for ESX attestation","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Manage custom attributes","Global.ManageCustomFields","Add, remove, and rename custom attribute definitions","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Set custom attribute","Global.SetCustomField","Set the value of a custom attribute on an object","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Log event","Global.LogEvent","Log a user-defined event on an object","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Cancel task","Global.CancelTask","Cancel a running task","False","True","False","False","False","False","False","False","False","False"
"Global","Global","Licenses","Global.Licenses","Manage licenses","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Diagnostics","Global.Diagnostics","Export diagnostic data","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Settings","Global.Settings","Edit global settings","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Act as vCenter Server","Global.VCServer","Act as the vCenter Server","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Capacity planning","Global.CapacityPlanning","Discover and convert physical host to virtual machine","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Script action","Global.ScriptAction","Schedule an external script action","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Proxy","Global.Proxy","Add or remove endpoints to or from the proxy","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Disable methods","Global.DisableMethods","Operations are disabled in vCenter ","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Enable methods","Global.EnableMethods","Operations are enabled in vCenter ","False","False","False","False","False","False","False","False","False","False"
"Global","Global","Service managers","Global.ServiceManagers","Access the directory service","False","False","False","False","False","False","False","False","False","False"
